step,price,density
100,11.13730710029602,0.0
100,12.532912054061889,0.0
100,13.92851700782776,0.0
100,15.32412196159363,0.24746897748878635
100,16.719726915359498,1.3648902740437554
100,18.115331869125367,0.8762655112556068
100,19.51093682289124,0.5113752372118514
100,20.906541776657107,0.0
100,22.302146730422976,0.5359601738537835
100,23.697751684188844,0.4640398261462166
100,25.093356637954713,0.0
100,26.48896159172058,0.0
100,27.88456654548645,0.0
100,29.28017149925232,0.0
100,30.67577645301819,0.0
100,32.07138140678406,0.0
100,33.46698636054993,0.0
100,34.8625913143158,0.0
100,36.25819626808167,0.0
100,37.65380122184754,0.0
100,39.049406175613406,0.0
100,40.445011129379274,0.0
100,41.84061608314514,0.0
100,43.23622103691101,0.0
100,44.63182599067688,0.0
100,46.02743094444275,0.0
100,47.423035898208624,0.0
100,48.81864085197449,0.0
100,50.21424580574036,0.0
100,51.60985075950623,0.0
100,53.0054557132721,0.0
100,54.40106066703797,0.23219832535697751
100,55.796665620803836,0.6824451370218777
100,57.192270574569704,0.08535653762114478
100,58.58787552833557,0.0
100,59.98348048210144,0.0
100,61.37908543586731,0.0
100,62.77469038963318,0.0
100,64.17029534339906,0.0
100,65.56590029716492,0.0
100,66.9615052509308,0.0
100,68.35711020469665,0.0
100,69.75271515846254,0.0
100,71.14832011222839,0.0
100,72.54392506599427,0.10398510664139111
100,73.93953001976013,0.6824451370218777
100,75.33513497352601,0.2135697563367312
100,76.73073992729186,0.0
100,78.12634488105775,0.0
100,79.5219498348236,0.5162107917507797
100,80.91755478858948,0.4837892082492204
100,82.31315974235534,0.0
100,83.70876469612122,0.0
100,85.10436964988709,0.0
100,86.49997460365296,0.0
100,87.89557955741884,0.0
100,89.2911845111847,0.0
100,90.68678946495058,0.0
100,92.08239441871643,0.0
100,93.47799937248232,0.0
100,94.87360432624817,0.02310729899144128
100,96.26920928001405,0.6824451370218777
100,97.66481423377991,0.29444756398668104
100,99.06041918754579,0.0
100,100.45602414131164,0.0
100,101.85162909507753,0.0
100,103.24723404884338,0.0
100,104.64283900260926,0.0
100,106.03844395637512,0.0
100,107.434048910141,0.0
100,108.82965386390686,0.0
100,110.22525881767274,0.0
100,111.6208637714386,0.0
100,113.01646872520448,0.0
100,114.41207367897034,0.0
100,115.80767863273621,0.0
100,117.2032835865021,0.0
100,118.59888854026795,0.0
100,119.99449349403383,0.0
100,121.39009844779969,0.0
100,122.78570340156557,0.0
100,124.18130835533142,0.0
100,125.5769133090973,0.0
100,126.97251826286316,0.0
100,128.36812321662904,0.0
100,129.76372817039493,0.08423572453839077
100,131.15933312416075,0.6824451370218707
100,132.55493807792664,0.23331913843973848
100,133.95054303169252,0.0
100,135.3461479854584,0.0
100,136.74175293922423,0.0
100,138.1373578929901,0.0
100,139.532962846756,0.0
100,140.92856780052188,0.0
100,142.32417275428773,0.0
100,143.71977770805358,0.0
100,145.11538266181947,0.5911322317790524
100,146.51098761558535,0.40886776822094756
100,147.9065925693512,0.0
100,149.30219752311706,0.0

200,11.13730710029602,0.6399999999999998
200,12.532912054061889,0.6400000000000006
200,13.92851700782776,0.6399999999999998
200,15.32412196159363,0.07999999999999997
200,16.719726915359498,0.0
200,18.115331869125367,0.0
200,19.51093682289124,0.0
200,20.906541776657107,0.12000000000000118
